scraped_id,source,source_id,company_name,prefecture,city,title,qualification,salary_type,daily_min,daily_max,monthly_min,monthly_max,yearly_min,yearly_max,url,scraped_at
S001,indeed,IND-001,東京電気工事株式会社,東京都,品川区,電気工事士（ビル設備）,第一種電気工事士,yearly,,,,,400,550,https://example.com/job/1,2025-01-20
S002,indeed,IND-002,東京電気工事株式会社,神奈川県,横浜市,電気設備工事スタッフ,第二種電気工事士,monthly,,,29,37,348,444,https://example.com/job/2,2025-01-20
S003,indeed,IND-003,東京電気工事株式会社,千葉県,千葉市,【新】電気工事士募集,第一種電気工事士,yearly,,,,,380,500,https://example.com/job/3,2025-01-20
S004,indeed,IND-004,関西電設株式会社,大阪府,大阪市,電気工事士,第一種電気工事士,yearly,,,,,420,550,https://example.com/job/4,2025-01-20
S005,indeed,IND-005,関西電設株式会社,奈良県,奈良市,【新】電気工事スタッフ急募,第二種電気工事士,daily,13000,17000,26,34,312,408,https://example.com/job/5,2025-01-20
S006,hellowork,HW-001,新日本電気株式会社,東京都,新宿区,電気工事技術者,第一種電気工事士,yearly,,,,,450,580,https://example.com/job/6,2025-01-20
S007,hellowork,HW-002,新日本電気株式会社,神奈川県,川崎市,電気設備工事,第二種電気工事士,monthly,,,32,40,384,480,https://example.com/job/7,2025-01-20
S008,hellowork,HW-003,日本電設サービス株式会社,大阪府,堺市,電気工事士,第一種電気工事士,yearly,,,,,400,520,https://example.com/job/8,2025-01-20
S009,hellowork,HW-004,中部エンジニアリング株式会社,愛知県,名古屋市,電気設備エンジニア,第一種電気工事士,yearly,,,,,450,600,https://example.com/job/9,2025-01-20
S010,hellowork,HW-005,中部エンジニアリング株式会社,三重県,津市,【新】電気工事スタッフ,第二種電気工事士,daily,14000,18000,28,36,336,432,https://example.com/job/10,2025-01-20
S011,rikunabi,RK-001,九州電工株式会社,福岡県,福岡市,電気工事士,第一種電気工事士,monthly,,,32,42,384,504,https://example.com/job/11,2025-01-20
S012,rikunabi,RK-002,九州電工株式会社,鹿児島県,鹿児島市,【新】電気設備工事,第二種電気工事士,daily,12000,16000,24,32,288,384,https://example.com/job/12,2025-01-20
S013,rikunabi,RK-003,南九州電設株式会社,宮崎県,宮崎市,電気工事士募集,第一種電気工事士,yearly,,,,,340,450,https://example.com/job/13,2025-01-20
S014,rikunabi,RK-004,四国電気工業株式会社,香川県,高松市,電気工事技術者,第一種電気工事士,monthly,,,31,40,372,480,https://example.com/job/14,2025-01-20
S015,rikunabi,RK-005,四国電気工業株式会社,愛媛県,松山市,電気設備スタッフ,第二種電気工事士,yearly,,,,,330,420,https://example.com/job/15,2025-01-20
S016,mynavi,MN-001,北陸電設株式会社,石川県,金沢市,電気工事士,第一種電気工事士,yearly,,,,,360,470,https://example.com/job/16,2025-01-20
S017,mynavi,MN-002,北陸電設株式会社,富山県,富山市,電気設備工事,第二種電気工事士,daily,13000,17000,26,34,312,408,https://example.com/job/17,2025-01-20
S018,mynavi,MN-003,東北電気工業株式会社,宮城県,仙台市,電気工事士,第一種電気工事士,yearly,,,,,360,470,https://example.com/job/18,2025-01-20
S019,mynavi,MN-004,東北電気工業株式会社,秋田県,秋田市,【新】電気設備スタッフ,第二種電気工事士,monthly,,,26,33,312,396,https://example.com/job/19,2025-01-20
S020,mynavi,MN-005,山陰電気サービス株式会社,島根県,松江市,電気工事士募集,第一種電気工事士,yearly,,,,,350,450,https://example.com/job/20,2025-01-20
